,Zip_simple,tot_accidents
348,75208,1658
349,73120,1645
350,98102,1645
351,46202,1643
352,75150,1641
353,98144,1638
354,77029,1638
355,94507,1634
356,30316,1633
357,75223,1632
358,77079,1632
359,91803,1628
360,92123,1625
361,75204,1623
362,29650,1619
363,73108,1618
364,19401,1618
365,94546,1617
366,17603,1616
367,27545,1614
368,68105,1613
369,60048,1613
370,92503,1610
371,29486,1609
372,92509,1607
373,98104,1606
374,91950,1604
375,92882,1604
376,77040,1601
377,90039,1600
378,75216,1600
379,91107,1596
380,94586,1595
381,90026,1593
382,95825,1588
383,75212,1588
384,30342,1587
385,78617,1584
386,60616,1583
387,93510,1581
388,29501,1575
389,95828,1573
390,95826,1573
391,22150,1571
392,90723,1570
393,95660,1569
394,11367,1569
395,77047,1569
396,29063,1568
397,85281,1566
398,17402,1564
399,91731,1562
400,94403,1562
401,19464,1561
402,60515,1558
403,48203,1558
404,73159,1557
405,84116,1557
406,73099,1553
407,95076,1553
408,70807,1549
409,92883,1548
410,55403,1543
411,10509,1542
412,94063,1542
413,48420,1540
414,55113,1538
415,19446,1536
416,32801,1533
417,17602,1532
418,94560,1532
419,29209,1530
420,75226,1526
421,90021,1525
422,95620,1524
423,74146,1521
424,77056,1518
425,29483,1513
426,94103,1512
427,48067,1508
428,92553,1508
429,75206,1503
430,37206,1502
431,73129,1501
432,23502,1500
433,75232,1500
434,97201,1499
435,29456,1494
436,45402,1492
437,85705,1490
438,95014,1488
439,55430,1488
440,73109,1487
441,10580,1483
442,91733,1482
443,19002,1482
444,60133,1480
445,75231,1478
446,91711,1475
447,92821,1475
448,70503,1466
449,92110,1464
450,78703,1464
451,36117,1463
452,37076,1462
453,77008,1455
454,27617,1451
455,94577,1449
456,94080,1448
457,93307,1447
458,77099,1438
459,60185,1435
460,60030,1434
461,95834,1426
462,94578,1419
463,30327,1418
464,94601,1416
465,94591,1415
466,90706,1408
467,60527,1405
468,23234,1404
469,60137,1401
470,73114,1400
471,29625,1399
472,55416,1398
473,43215,1396
474,33016,1395
475,48505,1394
476,95691,1393
477,19090,1393
478,60188,1393
479,95608,1392
480,75201,1390
481,77054,1390
482,84104,1386
483,95816,1385
484,60103,1384
485,90807,1379
486,93706,1377
487,29115,1376
488,77081,1376
489,21227,1375
490,21224,1374
491,77034,1373
492,85015,1366
493,95687,1365
494,10033,1364
495,92101,1358
496,32837,1356
497,94605,1356
498,92843,1355
499,95815,1354
500,77020,1354
501,48238,1354
502,30354,1351
503,85027,1348
504,60532,1347
505,91406,1346
506,95628,1344
507,55104,1341
508,29488,1340
509,78727,1339
510,79925,1339
511,29708,1338
512,84032,1334
513,78731,1332
514,78705,1331
515,73118,1329
516,60085,1327
517,90504,1327
518,12204,1326
519,91016,1324
520,91344,1321
521,19462,1319
522,98032,1318
523,77057,1317
524,91355,1315
525,33009,1312
526,95020,1311
527,22079,1310
528,91343,1310
529,90037,1308
530,48506,1307
531,94555,1305
532,92105,1303
533,94568,1302
534,75203,1300
535,78751,1300
536,78216,1297
537,60714,1296
538,73132,1295
539,91724,1294
540,84070,1294
541,92344,1293
542,84043,1292
543,91384,1291
544,55337,1290
545,97801,1290
546,33166,1288
547,14621,1284
548,95215,1283
549,78728,1283
550,79907,1282
551,80237,1279
552,90640,1279
553,95126,1278
554,74145,1278
555,95023,1278
556,92024,1275
557,98101,1274
558,94580,1273
559,77077,1269
560,41011,1269
561,92708,1268
562,98109,1268
563,92404,1266
564,30281,1265
565,90201,1258
566,32244,1255
567,95125,1254
568,32825,1253
569,45405,1251
570,92590,1250
571,95833,1249
572,28270,1246
573,33155,1246
574,94066,1245
575,33014,1245
576,33314,1243
577,73139,1242
578,94552,1239
579,32207,1239
580,33913,1239
581,48227,1237
582,32824,1236
583,94587,1234
584,91103,1234
585,68124,1234
586,95037,1233
587,75251,1233
588,92672,1232
589,91302,1232
590,60517,1231
591,77051,1231
592,78749,1230
593,85021,1228
594,22030,1223
595,91790,1223
596,23231,1222
597,94618,1221
598,64129,1219
599,77032,1219
600,20166,1219
601,91770,1218
602,92675,1217
603,75237,1217
604,30311,1212
605,84047,1212
606,32789,1212
607,90620,1211
608,48071,1210
609,60628,1210
610,32809,1210
611,20120,1207
612,92128,1207
613,48170,1206
614,45414,1205
615,12110,1205
616,78750,1203
617,01810,1203
618,11368,1201
619,94549,1200
620,29624,1199
621,34747,1199
622,37027,1198
623,33186,1197
624,48458,1196
625,90018,1196
626,75080,1195
627,30032,1195
628,94134,1195
629,48202,1193
630,34243,1192
631,94609,1190
632,90280,1190
633,33176,1187
634,33018,1186
635,14609,1185
636,95476,1183
637,92008,1181
638,10032,1181
639,17404,1180
640,92530,1180
641,60010,1178
642,92069,1178
643,14606,1176
644,91436,1175
645,98118,1175
646,45342,1174
647,98188,1171
648,77076,1170
649,19454,1170
650,93907,1169
651,78754,1167
652,93243,1166
653,29341,1164
654,75050,1164
655,07114,1163
656,68137,1163
657,30067,1162
658,33315,1162
659,77082,1159
660,90502,1158
661,98004,1157
662,32821,1156
663,28207,1156
664,75227,1154
665,90242,1154
666,85008,1151
667,34203,1151
668,94563,1150
669,98115,1149
670,75052,1147
671,92130,1146
